"k","p","truth","low_miss","up_miss","coverage","p_degenerate","mean_width"
1,0.998,0.9984,0.5,0.005,0.495,0.5,0.00410800593960903
3,0.994,0.9984,0.5,0.005,0.495,0.5,0.00441566921104699
5,0.99,0.9984,0.5,0.005,0.495,0.5,0.00443586396225094
10,0.98,0.9984,0.5,0.005,0.495,0.5,0.00443458278539757
25,0.95,0.9984,0.5,0.005,0.495,0.5,0.00443425599000063
50,0.9,0.9984,0.5,0.005,0.495,0.5,0.00443425599000063
100,0.8,0.9984,0.48,0.005,0.515,0.465,0.00469568315962079
250,0.5,0.9049713901,0.035,0.015,0.95,0,0.0761584114664599
450,0.1,0.4113180797,0.015,0.03,0.955,0,0.151856119025377
