"k","p","truth","low_miss","up_miss","coverage","p_degenerate","mean_width"
1,0.998,0.99925533,0.525,0.02,0.455,0.525,0.00336848264558213
3,0.994,0.998644324,0.4,0.01,0.59,0.385,0.00467575664956889
5,0.99,0.9982955858,0.365,0.01,0.625,0.355,0.00539058677614575
10,0.98,0.997783095,0.28,0.005,0.715,0.26,0.00643637179714661
25,0.95,0.9970848957,0.215,0,0.785,0.21,0.00783186020032902
50,0.9,0.9965662963,0.18,0,0.82,0.17,0.00859213303405337
100,0.8,0.9960470751,0.13,0.005,0.865,0.13,0.00950367415225416
250,0.5,0.9951875412,0.09,0,0.91,0.09,0.0107744140253815
450,0.1,0.9927838698,0.04,0.005,0.955,0.02,0.0141198053392022
